title,tags
It's a Wonderful Life,george entire prevent prevents billy potter people bedford money longed travel Drama  Family  Fantasy buena cuarentas media FrankCapra JamesStewart
Night of the Living Dead,zombie film rural pennsylvania people try survive attack living dead Horror buena sesentas corta GeorgeA.Romero DuaneJones
Cool Runnings,bobsled jamaican sprinter disqualified olympic game enlists help dishonored coach Comedy buena noventas corta JonTurteltaub LeonRobinson
Cinderella,cinderella turned glorious ball clock strike slipper key ultimate fairytale Family  Fantasy  Animation  Romance buena cincuentas corta ClydeGeronimi IleneWoods
The Sword in the Stone,young boy aspires hunting trip fall merlin powerful amnesiac wizard Animation  Family buena sesentas corta WolfgangReitherman SebastianCabot
Robin Hood: Prince of Thieves,sheriff robin end evil reign band exiled villager comely maid Adventure buena noventas media KevinReynolds KevinCostner
Mary Poppins,right fly flying magical request bank child combine diverting story song Comedy  Family  Fantasy buena sesentas media RobertStevenson JulieAndrews
Dumbo,dumbo baby elephant born oversized ear supreme lack confidence thanks Animation  Family buena cuarentas corta SamuelArmstrong SterlingHolloway
Alice in Wonderland,alices alice follows following rabbit afternoon encounter queen heart army playing wonderland Animation  Adventure  Family  Fantasy buena cincuentas corta HamiltonLuske KathrynBeaumont
The Fox and the Hound,copper named farm family little adventure hunting dog object search Adventure  Animation  Drama  Family buena ochentas corta TedBerman MickeyRooney
The Sound of Music,film adaptation classic rodgers hammerstein musical based nun governess austrian Drama  Family  Music  Romance buena sesentas media RobertWise JulieAndrews
Die Hard,mcclanes mcclane estranged wife minute arrives office cop hostage bring bad Action  Thriller buena ochentas media JohnMcTiernan BruceWillis
Romeo + Juliet,director baz luhrmanns contemporary shakespeare classic tragedy montagues capulets moved Drama  Romance buena noventas media BazLuhrmann LeonardoDiCaprio
Sleepers,seek revenge state jail worker stay youth prison sexually abused Crime  Drama  Thriller buena noventas media BarryLevinson RobertDeNiro
Aladdin and the King of Thieves,legendary secret revealed aladdin friendsjasmine abu carpet course genieface sort Adventure  Animation  Family buena noventas corta TadStones ScottWeinger
Willy Wonka & the Chocolate Factory,candy hidden wonka world oompa loompas chocolate bar admit lucky Family  Fantasy buena setentas corta MelStuart GeneWilder
A Fish Called Wanda,diamond advocate attempting steal collection Comedy  Crime buena ochentas corta CharlesCrichton JohnCleese
Life of Brian,brian brians gain reputation follower scolded biblical lore python signature absurdity Comedy buena setentas corta TerryJones GrahamChapman
Bonnie and Clyde,bonnie clyde based true story gangster pair parker barrow film Crime  Drama buena sesentas corta ArthurPenn WarrenBeatty
Dial M for Murder,improvises new plan frame murder murdered discovering affair assumes soon leave Crime  Mystery  Thriller buena cincuentas corta AlfredHitchcock RayMilland
Dirty Dancing,usual tedium accompanies summer catskills family yearold france baby houseman Drama  Music  Romance buena ochentas corta EmileArdolino JenniferGrey
Reservoir Dogs,botched robbery indicates police informant pressure mount aftermath warehouse crime Crime  Thriller buena noventas corta QuentinTarantino HarveyKeitel
Platoon,crisis confronted horror war duality naive recruit vietnam chris taylor Drama  War  Action buena ochentas media OliverStone TomBerenger
Basic Instinct,beautiful seductive detective charge investigation Thriller  Mystery buena noventas media PaulVerhoeven MichaelDouglas
E.T. the Extra-Terrestrial,elliott alien secret et sister gertie child earth discovered befriended Science Fiction  Adventure  Family  Fantasy buena ochentas corta StevenSpielberg HenryThomas
Days of Thunder,car injury cole unproven guidance veteran harry fellow racer threatens Adventure regular noventas corta TonyScott TomCruise
Top Gun,pete demon threaten petes pilot dream come true goose bradshaw accepted Action  Romance  War buena ochentas corta TonyScott TomCruise
Rebel Without a Cause,new town jim stark kid trouble clean plato fall local Drama buena cincuentas corta NicholasRay JamesDean
The Abyss,mysteriously mysterious odyssey change world oil rig crew recruited foot ocean Adventure  Action  Thriller  Science Fiction buena ochentas media JamesCameron EdHarris
Escape from New York,turned turn island worst anarchic current convict snake plissken united security Science Fiction  Action buena ochentas corta JohnCarpenter KurtRussell
Monty Python and the Holy Grail,sir arthur knight limb chopped decides enter silly reach camelot Adventure  Comedy  Fantasy buena setentas corta TerryGilliam GrahamChapman
Cinema Paradiso,recall childhood fell love movie village theater formed deep friendship Drama  Romance buena ochentas media GiuseppeTornatore PhilippeNoiret
Paths of Glory,mireau general attack order subordinate commanding command foolhardy position offering promotion Drama  War buena cincuentas corta StanleyKubrick KirkDouglas
The English Patient,almásy world burned plane patient tell chart vast expanse sahara Drama  Romance  War buena noventas media AnthonyMinghella RalphFiennes
One Flew Over the Cuckoo's Nest,authoritarian rule head nurse mildred time insanity state mental hospital Drama buena setentas media MilošForman JackNicholson
The Empire Strikes Back,capture luke leader princess darth vader saga betrayal r Adventure  Action  Science Fiction excelente ochentas media IrvinKershner MarkHamill
The Princess Bride,enchantingly cracked fairy tale beautiful princess buttercup dashing westley staggering Adventure  Family  Fantasy  Comedy  Romance buena ochentas corta RobReiner CaryElwes
Raiders of the Lost Ark,nazi government locate legendary ark indiana jones tweedsuited professor happens Adventure  Action buena ochentas corta StevenSpielberg HarrisonFord
Brazil,daydream web mistaken identity mindless bureaucracy bureaucrat sam lowry trying Comedy  Science Fiction buena ochentas media TerryGilliam JonathanPryce
Aliens,colonist ripleys ripley planet crew year specie company marine return search Horror  Action  Thriller  Science Fiction buena ochentas media JamesCameron SigourneyWeaver
"The Good, the Bad and the Ugly",civil war rage union confederacy stolen southwest search strongbox containing Western buena sesentas media SergioLeone EliWallach
12 Angry Men,prosecution rested jury juror prejudice preconception trial open shut case Drama buena cincuentas corta SidneyLumet HenryFonda
Lawrence of Arabia,"lawrence arab tribe revolt messianic figure cause instability threatens undermine Adventure  Drama  History  War buena sesentas larga DavidLean ""PeterOToole"""
A Clockwork Orange,gangleader state brainwashing experiment rape mugging murder pack beethoven violence Science Fiction  Drama buena setentas media StanleyKubrick MalcolmMcDowell
To Kill a Mockingbird,small alabama town scout reaction robinson trial finch attacked venomous Crime  Drama buena sesentas media RobertMulligan GregoryPeck
Apocalypse Now,mission vietnam war captain benjamin enemy beret colonel named walter Drama  War buena setentas media FrancisFordCoppola MartinSheen
Once Upon a Time in the West,western masterpiece epic film join force desperado protect woman land Western buena sesentas media SergioLeone HenryFonda
Return of the Jedi,solo remains frozen cavernous desert fortress jabba hutt loathsome outlaw Adventure  Action  Science Fiction buena ochentas media RichardMarquand MarkHamill
The Third Man,set postwar vienna austria holly martin writer develops conspiracy theory Thriller  Mystery buena cuarentas corta CarolReed JosephCotten
GoodFellas,rank mafia family guidance jimmy story henry hill halfirish halfsicilian Drama  Crime excelente noventas media MartinScorsese RobertDeNiro
Alien,crew planet inside egg earth commercial parasite host nightmare set Horror  Action  Thriller  Science Fiction buena setentas corta RidleyScott TomSkerritt
Army of Darkness,man accidentally transported ad battle army dead retrieve necronomicon return Fantasy  Horror  Comedy buena noventas corta SamRaimi BruceCampbell
The Big Blue,jacques dive dolphin enzo free diving close closely insurance investigator share passion Adventure  Drama  Romance buena ochentas media LucBesson Jean-MarcBarr
Psycho,bates real estate clerk marion fine mother wad cash hope Drama  Horror  Thriller buena sesentas corta AlfredHitchcock AnthonyPerkins
The Blues Brothers,elwood mission god raise fund orphanage grew thing best play Music  Comedy  Action  Crime buena ochentas media JohnLandis DanAykroyd
The Godfather: Part II,saga corleone family business la vega hollywood grows new york Drama  Crime excelente setentas larga FrancisFordCoppola AlPacino
Full Metal Jacket,camp training bloody street fighting u marine observes dehumanizing effect Drama  War buena ochentas corta StanleyKubrick MatthewModine
Amadeus,rival antonio salieri confined insane story genius musician wolfgang amadeus Drama  History  Music buena ochentas media MilošForman F.MurrayAbraham
Once Upon a Time in America,prohibitionera jewish gangster return lower east life Drama  Crime buena ochentas larga SergioLeone RobertDeNiro
Raging Bull,lamotta treat family friend time bomb ring obliterates bout paranoia Drama buena ochentas media MartinScorsese RobertDeNiro
